WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
FD24EP,DAX 40,Put,"100,000000:1","25025,000000 PKT",07.11.2025 00:00:00,"19,3111","23792,82 PKT","12,3100","0,0000",Mittagsauktion,-
FD24EU,DAX 40,Put,"100,000000:1","25150,000000 PKT",07.11.2025 00:00:00,"17,5323","23792,82 PKT","13,5600","0,0000",Mittagsauktion,-
FD24EB,DAX 40,Put,"100,000000:1","24725,000000 PKT",07.11.2025 00:00:00,"25,5272","23792,82 PKT","9,3100","0,0000",Mittagsauktion,-
FD24E0,DAX 40,Put,"100,000000:1","25300,000000 PKT",07.11.2025 00:00:00,"15,7985","23792,82 PKT","15,0600","0,0000",Mittagsauktion,-
FD24AF,DAX 40,Call,"100,000000:1","26225,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AK,DAX 40,Call,"100,000000:1","26325,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24A7,DAX 40,Put,"100,000000:1","22075,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24BJ,DAX 40,Put,"100,000000:1","22350,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24B2,DAX 40,Put,"100,000000:1","22800,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24CF,DAX 40,Put,"100,000000:1","23125,000000 PKT",07.11.2025 00:00:00,"33988,7908","23792,82 PKT","0,0060","0,0000",Mittagsauktion,-
FD24CK,DAX 40,Put,"100,000000:1","23225,000000 PKT",07.11.2025 00:00:00,"14870,0957","23792,82 PKT","0,0150","0,0000",Mittagsauktion,-
FD24C8,DAX 40,Put,"100,000000:1","23800,000000 PKT",07.11.2025 00:00:00,"273,4697","23792,82 PKT","0,8600","0,0000",Mittagsauktion,-
FD2398,DAX 40,Call,"100,000000:1","26050,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239J,DAX 40,Call,"100,000000:1","25450,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24EZ,DAX 40,Put,"100,000000:1","25275,000000 PKT",07.11.2025 00:00:00,"16,0537","23792,82 PKT","14,8100","0,0000",Mittagsauktion,-
FD24EG,DAX 40,Put,"100,000000:1","24850,000000 PKT",07.11.2025 00:00:00,"22,5086","23792,82 PKT","10,5600","0,0000",Mittagsauktion,-
FD24EL,DAX 40,Put,"100,000000:1","24950,000000 PKT",07.11.2025 00:00:00,"20,5632","23792,82 PKT","11,5600","0,0000",Mittagsauktion,-
FD24E5,DAX 40,Put,"100,000000:1","25425,000000 PKT",07.11.2025 00:00:00,"14,5782","23792,82 PKT","16,3100","0,0000",Mittagsauktion,-
FD2394,DAX 40,Call,"100,000000:1","25950,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239T,DAX 40,Call,"100,000000:1","25675,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239Y,DAX 40,Call,"100,000000:1","25800,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239A,DAX 40,Call,"100,000000:1","25250,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD2370,DAX 40,Call,"100,000000:1","24150,000000 PKT",07.11.2025 00:00:00,"7674,7966","23792,82 PKT","0,0310","0,0000",Mittagsauktion,-
FD237V,DAX 40,Call,"100,000000:1","24025,000000 PKT",07.11.2025 00:00:00,"1982,6795","23792,82 PKT","0,1200","0,0000",Mittagsauktion,-
FD237Q,DAX 40,Call,"100,000000:1","23900,000000 PKT",07.11.2025 00:00:00,"626,1093","23792,82 PKT","0,3800","0,0000",Mittagsauktion,-
FD237C,DAX 40,Call,"100,000000:1","23600,000000 PKT",07.11.2025 00:00:00,"109,1370","23792,82 PKT","2,1800","0,0000",Mittagsauktion,-
FD24ES,DAX 40,Put,"100,000000:1","25100,000000 PKT",07.11.2025 00:00:00,"18,2032","23792,82 PKT","13,0600","0,0000",Mittagsauktion,-
FD24EX,DAX 40,Put,"100,000000:1","25225,000000 PKT",07.11.2025 00:00:00,"16,6142","23792,82 PKT","14,3100","0,0000",Mittagsauktion,-
FD24EE,DAX 40,Put,"100,000000:1","24800,000000 PKT",07.11.2025 00:00:00,"23,6262","23792,82 PKT","10,0600","0,0000",Mittagsauktion,-
FD24E3,DAX 40,Put,"100,000000:1","25375,000000 PKT",07.11.2025 00:00:00,"15,0389","23792,82 PKT","15,8100","0,0000",Mittagsauktion,-
FD2358,DAX 40,Call,"100,000000:1","22650,000000 PKT",07.11.2025 00:00:00,"20,8151","23792,82 PKT","11,4300","0,0000",Mittagsauktion,-
FD2397,DAX 40,Call,"100,000000:1","26025,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239N,DAX 40,Call,"100,000000:1","25550,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AR,DAX 40,Put,"100,000000:1","21675,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AW,DAX 40,Put,"100,000000:1","21800,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AD,DAX 40,Call,"100,000000:1","26175,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24A0,DAX 40,Put,"100,000000:1","21900,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD2377,DAX 40,Call,"100,000000:1","24325,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD237J,DAX 40,Call,"100,000000:1","23750,000000 PKT",07.11.2025 00:00:00,"220,2930","23792,82 PKT","1,0900","0,0000",Mittagsauktion,-
FD24DQ,DAX 40,Put,"100,000000:1","24200,000000 PKT",07.11.2025 00:00:00,"58,1703","23792,82 PKT","4,0800","0,0000",Mittagsauktion,-
FD24DV,DAX 40,Put,"100,000000:1","24325,000000 PKT",07.11.2025 00:00:00,"44,7211","23792,82 PKT","5,3200","0,0000",Mittagsauktion,-
FD24DC,DAX 40,Put,"100,000000:1","23900,000000 PKT",07.11.2025 00:00:00,"164,0818","23792,82 PKT","1,4500","0,0000",Mittagsauktion,-
FD24D5,DAX 40,Put,"100,000000:1","24575,000000 PKT",07.11.2025 00:00:00,"30,4241","23792,82 PKT","7,8100","0,0000",Mittagsauktion,-
FD24FJ,DAX 40,Put,"100,000000:1","25750,000000 PKT",07.11.2025 00:00:00,"12,1636","23792,82 PKT","19,5600","0,0000",Mittagsauktion,-
FD24EJ,DAX 40,Put,"100,000000:1","24900,000000 PKT",07.11.2025 00:00:00,"21,5118","23792,82 PKT","11,0600","0,0000",Mittagsauktion,-
FD24E8,DAX 40,Put,"100,000000:1","25500,000000 PKT",07.11.2025 00:00:00,"13,9461","23792,82 PKT","17,0600","0,0000",Mittagsauktion,-
FD24BS,DAX 40,Put,"100,000000:1","22550,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24BX,DAX 40,Put,"100,000000:1","22675,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24BE,DAX 40,Put,"100,000000:1","22250,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24B6,DAX 40,Put,"100,000000:1","22900,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AN,DAX 40,Call,"100,000000:1","26400,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24A5,DAX 40,Put,"100,000000:1","22025,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD2371,DAX 40,Call,"100,000000:1","24175,000000 PKT",07.11.2025 00:00:00,"10344,0667","23792,82 PKT","0,0230","0,0000",Mittagsauktion,-
FD237W,DAX 40,Call,"100,000000:1","24050,000000 PKT",07.11.2025 00:00:00,"2504,4373","23792,82 PKT","0,0950","0,0000",Mittagsauktion,-
FD237R,DAX 40,Call,"100,000000:1","23925,000000 PKT",07.11.2025 00:00:00,"767,4888","23792,82 PKT","0,3100","0,0000",Mittagsauktion,-
FD237D,DAX 40,Call,"100,000000:1","23625,000000 PKT",07.11.2025 00:00:00,"120,1623","23792,82 PKT","1,9800","0,0000",Mittagsauktion,-
FD2359,DAX 40,Call,"100,000000:1","22675,000000 PKT",07.11.2025 00:00:00,"21,2809","23792,82 PKT","11,1800","0,0000",Mittagsauktion,-
FD24CZ,DAX 40,Put,"100,000000:1","23575,000000 PKT",07.11.2025 00:00:00,"1132,8327","23792,82 PKT","0,2100","0,0000",Mittagsauktion,-
FD24CG,DAX 40,Put,"100,000000:1","23150,000000 PKT",07.11.2025 00:00:00,"29737,6914","23792,82 PKT","0,0080","0,0000",Mittagsauktion,-
FD24CL,DAX 40,Put,"100,000000:1","23250,000000 PKT",07.11.2025 00:00:00,"12521,0684","23792,82 PKT","0,0190","0,0000",Mittagsauktion,-
FD24C9,DAX 40,Put,"100,000000:1","23825,000000 PKT",07.11.2025 00:00:00,"240,3197","23792,82 PKT","0,9900","0,0000",Mittagsauktion,-
FD2396,DAX 40,Call,"100,000000:1","26000,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239M,DAX 40,Call,"100,000000:1","25525,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239H,DAX 40,Call,"100,000000:1","25425,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24FB,DAX 40,Put,"100,000000:1","25575,000000 PKT",07.11.2025 00:00:00,"13,3588","23792,82 PKT","17,8100","0,0000",Mittagsauktion,-
FD24AQ,DAX 40,Call,"100,000000:1","26450,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AV,DAX 40,Put,"100,000000:1","21775,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AC,DAX 40,Call,"100,000000:1","26150,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24A4,DAX 40,Put,"100,000000:1","22000,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24CT,DAX 40,Put,"100,000000:1","23425,000000 PKT",07.11.2025 00:00:00,"3304,3097","23792,82 PKT","0,0710","0,0000",Mittagsauktion,-
FD24CY,DAX 40,Put,"100,000000:1","23550,000000 PKT",07.11.2025 00:00:00,"1321,7862","23792,82 PKT","0,1700","0,0000",Mittagsauktion,-
FD24CA,DAX 40,Put,"100,000000:1","23000,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24C3,DAX 40,Put,"100,000000:1","23675,000000 PKT",07.11.2025 00:00:00,"580,2964","23792,82 PKT","0,4100","0,0000",Mittagsauktion,-
FD2393,DAX 40,Call,"100,000000:1","25925,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239S,DAX 40,Call,"100,000000:1","25650,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239X,DAX 40,Call,"100,000000:1","25775,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239E,DAX 40,Call,"100,000000:1","25350,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24ER,DAX 40,Put,"100,000000:1","25075,000000 PKT",07.11.2025 00:00:00,"18,5423","23792,82 PKT","12,8100","0,0000",Mittagsauktion,-
FD24EW,DAX 40,Put,"100,000000:1","25200,000000 PKT",07.11.2025 00:00:00,"16,9090","23792,82 PKT","14,0600","0,0000",Mittagsauktion,-
FD24ED,DAX 40,Put,"100,000000:1","24775,000000 PKT",07.11.2025 00:00:00,"24,2271","23792,82 PKT","9,8100","0,0000",Mittagsauktion,-
FD24E2,DAX 40,Put,"100,000000:1","25350,000000 PKT",07.11.2025 00:00:00,"15,2801","23792,82 PKT","15,5600","0,0000",Mittagsauktion,-
FD2357,DAX 40,Call,"100,000000:1","22625,000000 PKT",07.11.2025 00:00:00,"20,3696","23792,82 PKT","11,6800","0,0000",Mittagsauktion,-
FD24CN,DAX 40,Put,"100,000000:1","23300,000000 PKT",07.11.2025 00:00:00,"8203,4033","23792,82 PKT","0,0270","0,0000",Mittagsauktion,-
FD24C6,DAX 40,Put,"100,000000:1","23750,000000 PKT",07.11.2025 00:00:00,"360,4525","23792,82 PKT","0,6500","0,0000",Mittagsauktion,-
FD2379,DAX 40,Call,"100,000000:1","24375,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD237Z,DAX 40,Call,"100,000000:1","24125,000000 PKT",07.11.2025 00:00:00,"5802,7203","23792,82 PKT","0,0430","0,0000",Mittagsauktion,-
FD237G,DAX 40,Call,"100,000000:1","23700,000000 PKT",07.11.2025 00:00:00,"168,7330","23792,82 PKT","1,4100","0,0000",Mittagsauktion,-
FD237L,DAX 40,Call,"100,000000:1","23800,000000 PKT",07.11.2025 00:00:00,"301,1538","23792,82 PKT","0,7900","0,0000",Mittagsauktion,-
FD24EN,DAX 40,Put,"100,000000:1","25000,000000 PKT",07.11.2025 00:00:00,"19,7111","23792,82 PKT","12,0600","0,0000",Mittagsauktion,-
FD24E7,DAX 40,Put,"100,000000:1","25475,000000 PKT",07.11.2025 00:00:00,"14,1446","23792,82 PKT","16,8100","0,0000",Mittagsauktion,-
FD2392,DAX 40,Call,"100,000000:1","25900,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239W,DAX 40,Call,"100,000000:1","25750,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
