WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
FD2YU6,EUR/USD,Put,"0,010000:1","1,055000 USD",07.11.2025 00:00:00,"25000,2156","1,1543 USD","0,0040","0,0000",-,-
FD2YUV,EUR/USD,Call,"0,010000:1","1,230000 USD",07.11.2025 00:00:00,"25000,4325","1,1543 USD","0,0040","0,0000",-,-
FD2YUQ,EUR/USD,Call,"0,010000:1","1,205000 USD",07.11.2025 00:00:00,"25000,4325","1,1543 USD","0,0040","0,0000",-,-
FD2YUC,EUR/USD,Call,"0,010000:1","1,145000 USD",07.11.2025 00:00:00,"120,4767","1,1543 USD","0,8400","0,0000",-,-
FD2YU4,EUR/USD,Call,"0,010000:1","1,275000 USD",07.11.2025 00:00:00,"25000,4325","1,1543 USD","0,0040","0,0000",-,-
FD2YUJ,EUR/USD,Call,"0,010000:1","1,175000 USD",07.11.2025 00:00:00,"25000,2156","1,1543 USD","0,0040","0,0000",-,-
FD2YU9,EUR/USD,Put,"0,010000:1","1,070000 USD",07.11.2025 00:00:00,"25000,4325","1,1543 USD","0,0040","0,0000",-,-
FD2YUY,EUR/USD,Call,"0,010000:1","1,245000 USD",07.11.2025 00:00:00,"25000,2156","1,1543 USD","0,0040","0,0000",-,-
FD2YUT,EUR/USD,Call,"0,010000:1","1,220000 USD",07.11.2025 00:00:00,"25000,4325","1,1543 USD","0,0040","0,0000",-,-
FD2YUA,EUR/USD,Call,"0,010000:1","1,135000 USD",07.11.2025 00:00:00,"59,1690","1,1543 USD","1,7000","0,0000",-,-
FD2YT4,EUR/USD,Call,"0,010000:1","1,105000 USD",07.11.2025 00:00:00,"23,3100","1,1543 USD","4,3000","0,0000",-,-
FD2YU8,EUR/USD,Put,"0,010000:1","1,065000 USD",07.11.2025 00:00:00,"25000,4325","1,1543 USD","0,0040","0,0000",-,-
FD2YUX,EUR/USD,Call,"0,010000:1","1,240000 USD",07.11.2025 00:00:00,"25001,2999","1,1543 USD","0,0040","0,0000",-,-
FD2YUS,EUR/USD,Call,"0,010000:1","1,215000 USD",07.11.2025 00:00:00,"25001,2999","1,1543 USD","0,0040","0,0000",-,-
FD2YUE,EUR/USD,Call,"0,010000:1","1,155000 USD",07.11.2025 00:00:00,"714,3104","1,1543 USD","0,1400","0,0000",-,-
FD2YV1,EUR/USD,Put,"0,010000:1","1,200000 USD",07.11.2025 00:00:00,"25,3153","1,1543 USD","3,9400","0,0000",-,-
FD2YVU,EUR/USD,Put,"0,010000:1","1,165000 USD",07.11.2025 00:00:00,"108,6909","1,1543 USD","0,9100","0,0000",-,-
FD2YVP,EUR/USD,Put,"0,010000:1","1,140000 USD",07.11.2025 00:00:00,"20001,0413","1,1543 USD","0,0050","0,0000",-,-
FD2YVB,EUR/USD,Put,"0,010000:1","1,080000 USD",07.11.2025 00:00:00,"25001,2999","1,1543 USD","0,0040","0,0000",-,-
FD2YU1,EUR/USD,Call,"0,010000:1","1,260000 USD",07.11.2025 00:00:00,"25001,2999","1,1543 USD","0,0040","0,0000",-,-
FD2YUZ,EUR/USD,Call,"0,010000:1","1,250000 USD",07.11.2025 00:00:00,"25001,2999","1,1543 USD","0,0040","0,0000",-,-
FD2YUL,EUR/USD,Call,"0,010000:1","1,185000 USD",07.11.2025 00:00:00,"25001,2999","1,1543 USD","0,0040","0,0000",-,-
FD2YUG,EUR/USD,Call,"0,010000:1","1,165000 USD",07.11.2025 00:00:00,"11111,2079","1,1543 USD","0,0090","0,0000",-,-
FD2YT9,EUR/USD,Call,"0,010000:1","1,130000 USD",07.11.2025 00:00:00,"47,1665","1,1543 USD","2,1300","0,0000",-,-
FD2YV2,EUR/USD,Put,"0,010000:1","1,205000 USD",07.11.2025 00:00:00,"22,8302","1,1543 USD","4,3700","0,0000",-,-
FD2YVV,EUR/USD,Put,"0,010000:1","1,170000 USD",07.11.2025 00:00:00,"74,0715","1,1543 USD","1,3400","0,0000",-,-
FD2YVQ,EUR/USD,Put,"0,010000:1","1,145000 USD",07.11.2025 00:00:00,"7143,4138","1,1543 USD","0,0140","0,0000",-,-
FD2YVC,EUR/USD,Put,"0,010000:1","1,085000 USD",07.11.2025 00:00:00,"25002,5986","1,1543 USD","0,0040","0,0000",-,-
FD2YV5,EUR/USD,Put,"0,010000:1","1,220000 USD",07.11.2025 00:00:00,"17,6050","1,1543 USD","5,6700","0,0000",-,-
FD2YVK,EUR/USD,Put,"0,010000:1","1,120000 USD",07.11.2025 00:00:00,"25002,5986","1,1543 USD","0,0040","0,0000",-,-
FD2YVF,EUR/USD,Put,"0,010000:1","1,100000 USD",07.11.2025 00:00:00,"25002,5986","1,1543 USD","0,0040","0,0000",-,-
FD2YT8,EUR/USD,Call,"0,010000:1","1,125000 USD",07.11.2025 00:00:00,"39,2133","1,1543 USD","2,5700","0,0000",-,-
FD2YVZ,EUR/USD,Put,"0,010000:1","1,190000 USD",07.11.2025 00:00:00,"32,4666","1,1543 USD","3,0700","0,0000",-,-
FD2YVL,EUR/USD,Put,"0,010000:1","1,125000 USD",07.11.2025 00:00:00,"25002,3818","1,1543 USD","0,0040","0,0000",-,-
FD2YVG,EUR/USD,Put,"0,010000:1","1,105000 USD",07.11.2025 00:00:00,"25002,5986","1,1543 USD","0,0040","0,0000",-,-
FD2YU5,EUR/USD,Put,"0,010000:1","1,050000 USD",07.11.2025 00:00:00,"25002,5986","1,1543 USD","0,0040","0,0000",-,-
FD2YUU,EUR/USD,Call,"0,010000:1","1,225000 USD",07.11.2025 00:00:00,"25002,5986","1,1543 USD","0,0040","0,0000",-,-
FD2YUP,EUR/USD,Call,"0,010000:1","1,200000 USD",07.11.2025 00:00:00,"25002,5986","1,1543 USD","0,0040","0,0000",-,-
FD2YUB,EUR/USD,Call,"0,010000:1","1,140000 USD",07.11.2025 00:00:00,"79,9951","1,1543 USD","1,2700","0,0000",-,-
FD2YV3,EUR/USD,Put,"0,010000:1","1,210000 USD",07.11.2025 00:00:00,"20,7456","1,1543 USD","4,8000","0,0000",-,-
FD2YVW,EUR/USD,Put,"0,010000:1","1,175000 USD",07.11.2025 00:00:00,"55,8625","1,1543 USD","1,7700","0,0000",-,-
FD2YVR,EUR/USD,Put,"0,010000:1","1,150000 USD",07.11.2025 00:00:00,"1724,1529","1,1543 USD","0,0560","0,0000",-,-
FD2YVD,EUR/USD,Put,"0,010000:1","1,090000 USD",07.11.2025 00:00:00,"25002,3818","1,1543 USD","0,0040","0,0000",-,-
FD2YT6,EUR/USD,Call,"0,010000:1","1,115000 USD",07.11.2025 00:00:00,"28,8211","1,1543 USD","3,4300","0,0000",-,-
FD2YVM,EUR/USD,Put,"0,010000:1","1,130000 USD",07.11.2025 00:00:00,"24999,5652","1,1543 USD","0,0040","0,0000",-,-
FD2YVH,EUR/USD,Put,"0,010000:1","1,110000 USD",07.11.2025 00:00:00,"24999,5652","1,1543 USD","0,0040","0,0000",-,-
FD2YV4,EUR/USD,Put,"0,010000:1","1,215000 USD",07.11.2025 00:00:00,"19,2691","1,1543 USD","5,2300","0,0000",-,-
FD2YVX,EUR/USD,Put,"0,010000:1","1,180000 USD",07.11.2025 00:00:00,"46,2995","1,1543 USD","2,2000","0,0000",-,-
FD2YVS,EUR/USD,Put,"0,010000:1","1,155000 USD",07.11.2025 00:00:00,"555,5891","1,1543 USD","0,2000","0,0000",-,-
FD2YVE,EUR/USD,Put,"0,010000:1","1,095000 USD",07.11.2025 00:00:00,"24999,5652","1,1543 USD","0,0040","0,0000",-,-
FD2YT5,EUR/USD,Call,"0,010000:1","1,110000 USD",07.11.2025 00:00:00,"25,6425","1,1543 USD","3,8700","0,0000",-,-
FD2YU3,EUR/USD,Call,"0,010000:1","1,270000 USD",07.11.2025 00:00:00,"25001,5136","1,1543 USD","0,0040","0,0000",-,-
FD2YUN,EUR/USD,Call,"0,010000:1","1,195000 USD",07.11.2025 00:00:00,"25001,5136","1,1543 USD","0,0040","0,0000",-,-
FD2YVN,EUR/USD,Put,"0,010000:1","1,135000 USD",07.11.2025 00:00:00,"25000,4323","1,1543 USD","0,0040","0,0000",-,-
FD2YV0,EUR/USD,Put,"0,010000:1","1,195000 USD",07.11.2025 00:00:00,"28,9034","1,1543 USD","3,5000","0,0000",-,-
FD2YVY,EUR/USD,Put,"0,010000:1","1,185000 USD",07.11.2025 00:00:00,"38,4638","1,1543 USD","2,6400","0,0000",-,-
FD2YVT,EUR/USD,Put,"0,010000:1","1,160000 USD",07.11.2025 00:00:00,"212,7806","1,1543 USD","0,5100","0,0000",-,-
FD2YVA,EUR/USD,Put,"0,010000:1","1,075000 USD",07.11.2025 00:00:00,"25001,5136","1,1543 USD","0,0040","0,0000",-,-
FD2YVJ,EUR/USD,Put,"0,010000:1","1,115000 USD",07.11.2025 00:00:00,"25001,5136","1,1543 USD","0,0040","0,0000",-,-
FD2YU2,EUR/USD,Call,"0,010000:1","1,265000 USD",07.11.2025 00:00:00,"24999,7820","1,1543 USD","0,0040","0,0000",-,-
FD2YUM,EUR/USD,Call,"0,010000:1","1,190000 USD",07.11.2025 00:00:00,"24999,5652","1,1543 USD","0,0040","0,0000",-,-
FD2YUH,EUR/USD,Call,"0,010000:1","1,170000 USD",07.11.2025 00:00:00,"25001,5136","1,1543 USD","0,0040","0,0000",-,-
FD2YU7,EUR/USD,Put,"0,010000:1","1,060000 USD",07.11.2025 00:00:00,"25001,7304","1,1543 USD","0,0040","0,0000",-,-
FD2YUW,EUR/USD,Call,"0,010000:1","1,235000 USD",07.11.2025 00:00:00,"25001,7304","1,1543 USD","0,0040","0,0000",-,-
FD2YUR,EUR/USD,Call,"0,010000:1","1,210000 USD",07.11.2025 00:00:00,"24999,5652","1,1543 USD","0,0040","0,0000",-,-
FD2YUD,EUR/USD,Call,"0,010000:1","1,150000 USD",07.11.2025 00:00:00,"208,3495","1,1543 USD","0,4400","0,0000",-,-
FD2YT7,EUR/USD,Call,"0,010000:1","1,120000 USD",07.11.2025 00:00:00,"32,8970","1,1543 USD","3,0000","0,0000",-,-
FD2YU0,EUR/USD,Call,"0,010000:1","1,255000 USD",07.11.2025 00:00:00,"25001,5136","1,1543 USD","0,0040","0,0000",-,-
FD2YUK,EUR/USD,Call,"0,010000:1","1,180000 USD",07.11.2025 00:00:00,"25001,5136","1,1543 USD","0,0040","0,0000",-,-
FD2YUF,EUR/USD,Call,"0,010000:1","1,160000 USD",07.11.2025 00:00:00,"2222,3760","1,1543 USD","0,0390","0,0000",-,-
FD2YW9,EUR/USD,Put,"0,010000:1","1,060000 USD",14.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FD2YWX,EUR/USD,Call,"0,010000:1","1,230000 USD",14.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FD2YWS,EUR/USD,Call,"0,010000:1","1,205000 USD",14.11.2025 00:00:00,"7142,9188","1,1543 USD","0,0040","0,0140",-,-
FD2YWE,EUR/USD,Call,"0,010000:1","1,145000 USD",14.11.2025 00:00:00,"103,0909","1,1543 USD","0,9600","0,9700",-,-
FD2YW5,EUR/USD,Call,"0,010000:1","1,270000 USD",14.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FD2YWY,EUR/USD,Call,"0,010000:1","1,235000 USD",14.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FD2YWT,EUR/USD,Call,"0,010000:1","1,210000 USD",14.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FD2YWA,EUR/USD,Call,"0,010000:1","1,125000 USD",14.11.2025 00:00:00,"38,3138","1,1543 USD","2,6000","2,6000",-,-
FD2YW3,EUR/USD,Call,"0,010000:1","1,260000 USD",14.11.2025 00:00:00,"7142,9188","1,1543 USD","0,0040","0,0140",-,-
FD2YWM,EUR/USD,Call,"0,010000:1","1,180000 USD",14.11.2025 00:00:00,"5555,6521","1,1543 USD","0,0080","0,0180",-,-
FD2YWH,EUR/USD,Call,"0,010000:1","1,160000 USD",14.11.2025 00:00:00,"588,2301","1,1543 USD","0,1600","0,1700",-,-
FD2YXM,EUR/USD,Put,"0,010000:1","1,120000 USD",14.11.2025 00:00:00,"7142,8569","1,1543 USD","0,0040","0,0140",-,-
FD2YXH,EUR/USD,Put,"0,010000:1","1,100000 USD",14.11.2025 00:00:00,"7692,4409","1,1543 USD","0,0030","0,0130",-,-
FD2YW6,EUR/USD,Call,"0,010000:1","1,275000 USD",14.11.2025 00:00:00,"7142,9188","1,1543 USD","0,0040","0,0140",-,-
FD2YWU,EUR/USD,Call,"0,010000:1","1,215000 USD",14.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FD2YWP,EUR/USD,Call,"0,010000:1","1,190000 USD",14.11.2025 00:00:00,"6666,7246","1,1543 USD","0,0050","0,0150",-,-
FD2YWB,EUR/USD,Call,"0,010000:1","1,130000 USD",14.11.2025 00:00:00,"45,8695","1,1543 USD","2,1800","2,1800",-,-
FD2YX1,EUR/USD,Put,"0,010000:1","1,190000 USD",14.11.2025 00:00:00,"32,7854","1,1543 USD","3,0300","3,0600",-,-
FD2YXY,EUR/USD,Put,"0,010000:1","1,175000 USD",14.11.2025 00:00:00,"56,4947","1,1543 USD","1,7500","1,7700",-,-
FD2YXT,EUR/USD,Put,"0,010000:1","1,150000 USD",14.11.2025 00:00:00,"526,3112","1,1543 USD","0,1800","0,1900",-,-
FD2YXA,EUR/USD,Put,"0,010000:1","1,065000 USD",14.11.2025 00:00:00,"7142,9188","1,1543 USD","0,0040","0,0140",-,-
FD2YW4,EUR/USD,Call,"0,010000:1","1,265000 USD",14.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FD2YWN,EUR/USD,Call,"0,010000:1","1,185000 USD",14.11.2025 00:00:00,"6666,6089","1,1543 USD","0,0050","0,0150",-,-
FD2YX4,EUR/USD,Put,"0,010000:1","1,205000 USD",14.11.2025 00:00:00,"22,9893","1,1543 USD","4,3300","4,3600",-,-
FD2YXW,EUR/USD,Put,"0,010000:1","1,165000 USD",14.11.2025 00:00:00,"103,0883","1,1543 USD","0,9500","0,9700",-,-
FD2YXR,EUR/USD,Put,"0,010000:1","1,140000 USD",14.11.2025 00:00:00,"1785,7761","1,1543 USD","0,0450","0,0570",-,-
FD2YXD,EUR/USD,Put,"0,010000:1","1,080000 USD",14.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FD2YW0,EUR/USD,Call,"0,010000:1","1,245000 USD",14.11.2025 00:00:00,"7143,2286","1,1543 USD","0,0040","0,0140",-,-
FD2YWJ,EUR/USD,Call,"0,010000:1","1,165000 USD",14.11.2025 00:00:00,"1204,7776","1,1543 USD","0,0750","0,0820",-,-
FD2YX6,EUR/USD,Put,"0,010000:1","1,215000 USD",14.11.2025 00:00:00,"19,1569","1,1543 USD","5,2000","5,2300",-,-
FD2YXK,EUR/USD,Put,"0,010000:1","1,110000 USD",14.11.2025 00:00:00,"7143,2286","1,1543 USD","0,0040","0,0140",-,-
FD2YXF,EUR/USD,Put,"0,010000:1","1,090000 USD",14.11.2025 00:00:00,"7143,2286","1,1543 USD","0,0040","0,0140",-,-
FD2YW8,EUR/USD,Put,"0,010000:1","1,055000 USD",14.11.2025 00:00:00,"7143,8166","1,1543 USD","0,0040","0,0140",-,-
FD2YWW,EUR/USD,Call,"0,010000:1","1,225000 USD",14.11.2025 00:00:00,"7143,8786","1,1543 USD","0,0040","0,0140",-,-
FD2YWR,EUR/USD,Call,"0,010000:1","1,200000 USD",14.11.2025 00:00:00,"7143,8786","1,1543 USD","0,0040","0,0140",-,-
FD2YWD,EUR/USD,Call,"0,010000:1","1,140000 USD",14.11.2025 00:00:00,"74,6271","1,1543 USD","1,3500","1,3400",-,-
FD2YX3,EUR/USD,Put,"0,010000:1","1,200000 USD",14.11.2025 00:00:00,"25,5095","1,1543 USD","3,9000","3,9200",-,-
FD2YXV,EUR/USD,Put,"0,010000:1","1,160000 USD",14.11.2025 00:00:00,"158,7370","1,1543 USD","0,6100","0,6300",-,-
FD2YXQ,EUR/USD,Put,"0,010000:1","1,135000 USD",14.11.2025 00:00:00,"2941,2273","1,1543 USD","0,0230","0,0340",-,-
FD2YXC,EUR/USD,Put,"0,010000:1","1,075000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YXN,EUR/USD,Put,"0,010000:1","1,125000 USD",14.11.2025 00:00:00,"5555,4112","1,1543 USD","0,0080","0,0180",-,-
FD2YV6,EUR/USD,Call,"0,010000:1","1,105000 USD",14.11.2025 00:00:00,"23,1467","1,1543 USD","4,3300","4,3300",-,-
FD2YX2,EUR/USD,Put,"0,010000:1","1,195000 USD",14.11.2025 00:00:00,"28,6523","1,1543 USD","3,4700","3,5000",-,-
FD2YXU,EUR/USD,Put,"0,010000:1","1,155000 USD",14.11.2025 00:00:00,"270,2960","1,1543 USD","0,3500","0,3700",-,-
FD2YXP,EUR/USD,Put,"0,010000:1","1,130000 USD",14.11.2025 00:00:00,"4348,1650","1,1543 USD","0,0130","0,0230",-,-
FD2YXB,EUR/USD,Put,"0,010000:1","1,070000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YV7,EUR/USD,Call,"0,010000:1","1,110000 USD",14.11.2025 00:00:00,"25,7053","1,1543 USD","3,9000","3,9000",-,-
FD2YX7,EUR/USD,Put,"0,010000:1","1,220000 USD",14.11.2025 00:00:00,"17,6667","1,1543 USD","5,6300","5,6500",-,-
FD2YXZ,EUR/USD,Put,"0,010000:1","1,180000 USD",14.11.2025 00:00:00,"45,4529","1,1543 USD","2,1700","2,1900",-,-
FD2YXL,EUR/USD,Put,"0,010000:1","1,115000 USD",14.11.2025 00:00:00,"6667,1866","1,1543 USD","0,0050","0,0150",-,-
FD2YXG,EUR/USD,Put,"0,010000:1","1,095000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YV8,EUR/USD,Call,"0,010000:1","1,115000 USD",14.11.2025 00:00:00,"28,9022","1,1543 USD","3,4600","3,4700",-,-
FD2YX0,EUR/USD,Put,"0,010000:1","1,185000 USD",14.11.2025 00:00:00,"38,0208","1,1543 USD","2,6000","2,6100",-,-
FD2YXX,EUR/USD,Put,"0,010000:1","1,170000 USD",14.11.2025 00:00:00,"73,5325","1,1543 USD","1,3400","1,3500",-,-
FD2YXS,EUR/USD,Put,"0,010000:1","1,145000 USD",14.11.2025 00:00:00,"1000,0692","1,1543 USD","0,0900","0,1000",-,-
FD2YXE,EUR/USD,Put,"0,010000:1","1,085000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YW7,EUR/USD,Put,"0,010000:1","1,050000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YWV,EUR/USD,Call,"0,010000:1","1,220000 USD",14.11.2025 00:00:00,"7143,5377","1,1543 USD","0,0040","0,0140",-,-
FD2YWQ,EUR/USD,Call,"0,010000:1","1,195000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YWC,EUR/USD,Call,"0,010000:1","1,135000 USD",14.11.2025 00:00:00,"57,1393","1,1543 USD","1,7600","1,7700",-,-
FD2YV9,EUR/USD,Call,"0,010000:1","1,120000 USD",14.11.2025 00:00:00,"33,0038","1,1543 USD","3,0300","3,0400",-,-
FD2YW1,EUR/USD,Call,"0,010000:1","1,250000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YWK,EUR/USD,Call,"0,010000:1","1,170000 USD",14.11.2025 00:00:00,"2380,8287","1,1543 USD","0,0330","0,0430",-,-
FD2YWF,EUR/USD,Call,"0,010000:1","1,150000 USD",14.11.2025 00:00:00,"161,2917","1,1543 USD","0,6200","0,6300",-,-
FD2YX5,EUR/USD,Put,"0,010000:1","1,210000 USD",14.11.2025 00:00:00,"20,8770","1,1543 USD","4,7600","4,7700",-,-
FD2YXJ,EUR/USD,Put,"0,010000:1","1,105000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YW2,EUR/USD,Call,"0,010000:1","1,255000 USD",14.11.2025 00:00:00,"7143,5997","1,1543 USD","0,0040","0,0140",-,-
FD2YWZ,EUR/USD,Call,"0,010000:1","1,240000 USD",14.11.2025 00:00:00,"7143,5377","1,1543 USD","0,0040","0,0140",-,-
FD2YWL,EUR/USD,Call,"0,010000:1","1,175000 USD",14.11.2025 00:00:00,"4000,2771","1,1543 USD","0,0150","0,0250",-,-
FD2YWG,EUR/USD,Call,"0,010000:1","1,155000 USD",14.11.2025 00:00:00,"285,6969","1,1543 USD","0,3500","0,3600",-,-
FA1KUL,EUR/USD,Call,"0,010000:1","1,180000 USD",21.11.2025 00:00:00,"2499,9783","1,1543 USD","0,0290","0,0400",-,-
