WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
FD2YY3,Gold,Call,"10,000000:1","4400,000000 USD",07.11.2025 00:00:00,"24647,6288","3982,055 USD","0,0140","0,0000",-,-
FD2YYZ,Gold,Call,"10,000000:1","4320,000000 USD",07.11.2025 00:00:00,"24648,2481","3982,055 USD","0,0140","0,0000",-,-
FD2YYL,Gold,Call,"10,000000:1","4060,000000 USD",07.11.2025 00:00:00,"3136,1835","3982,055 USD","0,1200","0,0000",-,-
FD2YYG,Gold,Call,"10,000000:1","3980,000000 USD",07.11.2025 00:00:00,"196,0262","3982,055 USD","1,8500","0,0000",-,-
FD2Y01,Gold,Put,"10,000000:1","4440,000000 USD",07.11.2025 00:00:00,"8,7059","3982,055 USD","39,4800","0,0000",-,-
FD2Y0U,Gold,Put,"10,000000:1","4300,000000 USD",07.11.2025 00:00:00,"12,5463","3982,055 USD","27,3500","0,0000",-,-
FD2Y0P,Gold,Put,"10,000000:1","4200,000000 USD",07.11.2025 00:00:00,"18,3133","3982,055 USD","18,6900","0,0000",-,-
FD2Y0B,Gold,Put,"10,000000:1","3960,000000 USD",07.11.2025 00:00:00,"425,9442","3982,055 USD","0,7700","0,0000",-,-
FD2YY8,Gold,Call,"10,000000:1","4500,000000 USD",07.11.2025 00:00:00,"24647,6288","3982,055 USD","0,0140","0,0000",-,-
FD2YYV,Gold,Call,"10,000000:1","4240,000000 USD",07.11.2025 00:00:00,"24647,6288","3982,055 USD","0,0140","0,0000",-,-
FD2YYQ,Gold,Call,"10,000000:1","4140,000000 USD",07.11.2025 00:00:00,"24637,1106","3982,055 USD","0,0140","0,0000",-,-
FD2YYC,Gold,Call,"10,000000:1","3900,000000 USD",07.11.2025 00:00:00,"46,9419","3982,055 USD","7,4800","0,0000",-,-
FD2YY2,Gold,Call,"10,000000:1","4380,000000 USD",07.11.2025 00:00:00,"24648,5578","3982,055 USD","0,0140","0,0000",-,-
FD2YYK,Gold,Call,"10,000000:1","4040,000000 USD",07.11.2025 00:00:00,"1379,9207","3982,055 USD","0,2700","0,0000",-,-
FD2YYF,Gold,Call,"10,000000:1","3960,000000 USD",07.11.2025 00:00:00,"121,9103","3982,055 USD","2,9500","0,0000",-,-
FD2YZ2,Gold,Put,"10,000000:1","3780,000000 USD",07.11.2025 00:00:00,"24648,5578","3982,055 USD","0,0140","0,0000",-,-
